company_raw,company_normalized,official_name,factset_entity_id
SGS S.A.,sgs s a,SGS S.A.,05HWM3-E
Winbond Electronics Corporation,winbond electronics,Winbond Electronics Corporation,05HWM6-E
ACERINOX EUROPA SAU,acerinox europa sau,"Acerinox, S.A.",05HWMK-E
Sanlam,sanlam,Sanlam Ltd,05HWML-E
PT Sampoerna Indonesia Sembilan,pt sampoerna indonesia sembilan,PT Hanjaya Mandala Sampoerna Tbk.,05HWMN-E
Acer Incorporated,acer,Acer Incorporated,05HWN5-E
PTT Public Company Limited,ptt public,PTT Public Company Limited,05HWNP-E
Yokogawa,yokogawa,Yokogawa Electric Corporation,05HWP5-E
GSEnergy,gsenergy,LG Chem Ltd.,05HWPF-E
Corbion,corbion,Corbion N.V.,05HWPH-E
Banco Votorantim S.A.,banco votorantim s a,Banco do Brasil S.A.,05HWPQ-E
Brasilprev Seguros e Previdâˆšâ„¢ncia S.A.,brasilprev seguros e previdaˆsa ncia s a,Banco do Brasil S.A.,05HWPQ-E
Banco do Brasil,banco do brasil,Banco do Brasil S.A.,05HWPQ-E
Safran Landing Systems Services UK Ltd,safran landing systems services uk,Safran S.A.,05HWQV-E
Gecina,gecina,Gecina,05HWRV-E
YAPI VE KREDİ BANKASI A.S,yapi ve kredi bankasi a s,Yapı ve Kredi Bankası A.Ş.,05HWS3-E
Yapı ve Kredi Bankası A.Ş.,yapı ve kredi bankası a s,Yapı ve Kredi Bankası A.Ş.,05HWS3-E
Yamaha Motor Canada Ltd.,yamaha motor canada,"Yamaha Motor Co., Ltd.",05HWS4-E
SBM Offshore,sbm offshore,SBM Offshore N.V.,05HWSC-E
Chang Hwa Bank Changhwa Branch,chang hwa bank changhwa branch,"Chang Hwa Commercial Bank, Ltd.",05HWVL-E
Chang Hwa Bank,chang hwa bank,"Chang Hwa Commercial Bank, Ltd.",05HWVL-E
THE KEPPEL CLUB,the keppel club,Keppel Corporation Limited,05HWVR-E
Keppel Corporation Limited,keppel,Keppel Corporation Limited,05HWVR-E
KUEHNE + NAGEL LTD,kuehne nagel,Kuehne + Nagel International AG,05HWWX-E
Kuehne + Nagel Logistics BV,kuehne nagel logistics,Kuehne + Nagel International AG,05HWWX-E
Kuehne & Nagel Finance AG,kuehne nagel finance,Kuehne + Nagel International AG,05HWWX-E
Kuehne + Nagel Management AG,kuehne nagel management,Kuehne + Nagel International AG,05HWWX-E
Kuehne & Nagel Fiannce Ag,kuehne nagel fiannce,Kuehne + Nagel International AG,05HWWX-E
KUEHNE + NAGEL PVT LTD,kuehne nagel pvt,Kuehne + Nagel International AG,05HWWX-E
KUEHNE AND NAGEL PVT LTD,kuehne and nagel pvt,Kuehne + Nagel International AG,05HWWX-E
KUEHNE + NAGEL CO WLL,kuehne nagel wll,Kuehne + Nagel International AG,05HWWX-E
KUEHNE + NAGEL LTD UKRAINE,kuehne nagel ukraine,Kuehne + Nagel International AG,05HWWX-E
SneakerCon2024 Carlsberg,sneakercon2024 carlsberg,Carlsberg A/S,05HWX4-E
AB SKF,skf,AB SKF,05HWXZ-E
"SKF USA, Inc.",skf usa,AB SKF,05HWXZ-E
EVN AG,evn,EVN AG,05HWY1-E
John Holland Pty Ltd,john holland,CIMIC Group Limited,05HWY4-E
JOHN HOLLAND PTY LTD & CPB CONTRACTORS PTY LTD,john holland cpb contractors,CIMIC Group Limited,05HWY4-E
WHSmith Plc,whsmith,WHSmith PLC,05HWYD-E
Marubeni Corporation,marubeni,Marubeni Corporation,05HWYZ-E
St James's Place,st james s place,St. James's Place plc,05HWZ6-E
Bharat Petroleum - EHS Dept.,bharat petroleum ehs dept,Bharat Petroleum Corporation Limited,05HWZC-E
Brother Industries (U.K.) Ltd,brother industries u k,"Brother Industries, Ltd.",05HWZY-E
"Brother Industries, Ltd.",brother industries,"Brother Industries, Ltd.",05HWZY-E
Brother International (NZ) Limited,brother international nz,"Brother Industries, Ltd.",05HWZY-E
Brother International Europe Ltd,brother international europe,"Brother Industries, Ltd.",05HWZY-E
"KONE Elevators Co., Ltd.",kone elevators,KONE Oyj,05HX0F-E
KONE AG,kone,KONE Oyj,05HX0F-E
OKI Data Corporation,oki data,"OKI Electric Industry Co., Ltd.",05HX0W-E
OKI Printing Solutions,oki printing solutions,"OKI Electric Industry Co., Ltd.",05HX0W-E
Shin Kong Bank,shin kong bank,"Shin Kong Financial Holding Co., Ltd.",05HX13-E
Taiwan Shin Kong Commercial Bank Co.Ltd.,taiwan shin kong commercial bank,"Shin Kong Financial Holding Co., Ltd.",05HX13-E
SACYR SA,sacyr,"Sacyr, S.A.",05HX4H-E
SACYR S.A.,sacyr s a,"Sacyr, S.A.",05HX4H-E
REE,ree,Red Eléctrica de España S.A.U.,05HX4N-E
Rémy Cointreau,remy cointreau,Rémy Cointreau Group,05HX5S-E
